start_date	gating_id
2018-10-23T20:34:14+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-10-26T17:08:33+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-10-27T03:21:15+00:00	b6894b1d-3fb2-4232-8203-13a0a361a677
2018-10-27T06:00:27+00:00	8d8f7b17-c213-4886-bc8a-83bc24de0bf9
2018-10-27T08:00:36+00:00	035ca5d6-1534-44a9-8bf5-6937ccfd5731
2018-10-27T18:01:22+00:00	b6894b1d-3fb2-4232-8203-13a0a361a677
2018-10-27T19:01:27+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-10-27T23:01:46+00:00	035ca5d6-1534-44a9-8bf5-6937ccfd5731
2018-10-28T03:00:16+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-10-28T09:14:48+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-10-28T15:00:15+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-10-28T19:00:32+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-10-28T20:00:36+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-10-28T23:00:49+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-10-29T05:00:41+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-10-29T07:00:50+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-10-29T08:00:54+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-10-29T18:01:35+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-10-29T19:01:40+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-10-29T20:29:51+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-10-29T21:02:54+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-10-30T02:00:10+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-10-30T04:00:19+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-10-30T06:00:27+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-10-30T07:00:31+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-10-30T10:00:44+00:00	b6894b1d-3fb2-4232-8203-13a0a361a677
2018-10-30T11:00:49+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-10-30T19:02:03+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-10-30T20:02:08+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-10-30T22:02:17+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-10-31T05:00:25+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-10-31T16:29:27+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-10-31T18:02:34+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-10-31T20:02:42+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-10-31T22:02:52+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-11-01T00:00:02+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-11-01T01:00:06+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-11-01T04:00:21+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-11-01T05:00:26+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-11-01T08:00:40+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-11-01T09:00:45+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-11-01T20:00:25+00:00	5762ab04-b5a9-4e60-ad0c-cdc7a0697051
2018-11-01T22:00:34+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-11-01T23:00:38+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-11-02T06:00:28+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-11-02T08:00:48+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-11-02T19:01:33+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-11-02T22:01:48+00:00	4fc9bc5d-f7ac-446e-a392-4cff7ec5a338
2018-11-03T08:02:25+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-11-03T10:22:19+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
2018-11-03T18:02:31+00:00	f8b909c8-a396-4aa8-9d30-5d4fb5c58048
2018-11-03T22:02:50+00:00	035ca5d6-1534-44a9-8bf5-6937ccfd5731
2018-11-04T01:00:06+00:00	69bc816f-5e1f-4943-b1d0-27a3104a3fad
2018-11-04T04:00:20+00:00	a0eb4017-11e3-4e10-a17d-06219c4bc6dc
2018-11-04T07:00:32+00:00	492e6255-cb3a-4040-9c69-a68ea5a1a531
2018-11-04T10:00:44+00:00	0f94a05d-069f-4224-b410-016ca19b2ed1
