pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	750.8003657671919			902.0793790531413			1	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	391.11789988331566			743.5816629315013			2	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	259.40958205447333			369.09050006377663			3	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	292.7073085855172			174.56534937644818			4	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	698.3223533404297			256.91544277196425			5	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	1441.2564329178522			505.23857724959856			6	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	1706.741828281715			1393.3362753205454			7	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	715.3942654376478			1690.3320572728537			8	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	128.76274003900647			25.89922170206184			1	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	33.2948929111945			26.532380921681465			2	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	9.035330767546006			8.124379652300503			3	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	5.992697799901989			3.1673736593373096			4	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	19.570791565667342			2.4877354553875213			5	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	77.53726707021737			2.4877354553875213			6	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	272.248211230578			4.032685981999264			7	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	253.21912485350478			15.22360414241307			8	2aa8371d-667c-4a3a-94eb-0806de5b1942
synecho	106.13878843158933			33.78090876537624			9	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	1277.3023355763246			256.91544277196425			1	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	665.3910011034473			196.972498793591			2	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	618.8827695992148			80.59232897535887			3	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	1052.876960507688			64.84673461521257			4	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	1626.2556229413333			82.56257258763323			5	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	2021.1307314056855			158.48931924611125			6	2aa8371d-667c-4a3a-94eb-0806de5b1942
croco	1748.466608142609			233.25564766540901			7	2aa8371d-667c-4a3a-94eb-0806de5b1942
beads	561.8887665696218			725.8370968929352			1	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	259.40958205447333			505.23857724959856			2	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	241.27786570033254			222.2558223586708			3	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	561.8887665696218			263.1962639921933			4	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	933.104040346458			612.9324118109613			5	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	732.8835351939199			1042.7538888537688			6	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	152.48136926183116			30.669965447689293			1	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	41.37930735634669			35.45278440480202			2	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	9.256217829079949			11.121256211835888			3	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	9.48250492468109			3.091788590650504			4	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	34.108854375190646			2.4877354553875213			5	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	184.98344668507045			2.4283690289743496			6	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	292.7073085855172			10.097080162079756			7	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
synecho	163.94014492996635			28.526254680783126			8	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	1277.3023355763246			269.6306326783704			1	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	665.3910011034473			250.7845048160419			2	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	604.1139732144449			158.48931924611125			3	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	561.8887665696218			68.05611174157931			4	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	1027.7514824498267			49.716837641015154			5	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	1748.466608142609			84.58098281751337			6	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
croco	1791.2114352218898			166.33322995310593			7	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	138.43909171176585				58.87488474207409		1	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	28.115839077947204				44.061161765483746		2	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	4.071835362874186				24.677871148904735		3	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	1.1049856634976358				3.936451410481893		4	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	2.2261398682357414				2.2586355207213757		5	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	16.930560213534182				2.152123217983193		6	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	131.91060745128053				3.573936674839564		7	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	203.7468528039702				18.027854983763387		8	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
prochloro	103.60593046256321				71.4243264963998		9	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	2903.6018399677005				3661.3088353640323		1	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	561.8887665696218				3244.8065589610906		2	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	152.48136926183116				1068.2461312893558		3	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	148.84260856962888				86.64873719606032		4	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	229.89973016685394				27.181019007886402		5	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	889.1008981308144				26.532380921681465		6	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	2636.204038327464				170.3995845055881		7	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	3879.8165280991093				839.0275545971097		8	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
picoeuk	3522.517398411033				3573.936674839567		9	89a44a9e-c70a-4e3a-8469-aa6ce501a18b
beads	391.11789988331566			627.916792886433			1	3cc02718-b98a-469a-838d-0f889cc60c61
beads	241.27786570033254			311.6781042867731			2	3cc02718-b98a-469a-838d-0f889cc60c61
beads	229.89973016685394			166.33322995310593			3	3cc02718-b98a-469a-838d-0f889cc60c61
beads	665.3910011034473			276.22230261100714			4	3cc02718-b98a-469a-838d-0f889cc60c61
beads	1188.0238923371367			556.4863876983289			5	3cc02718-b98a-469a-838d-0f889cc60c61
