pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	NA	NA	NA	1040.4171214591647	138.6218458333041	NA	1	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	848.6390540191425	76.13720874463888	NA	2	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	351.0192248210951	25.083858199046922	NA	3	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	139.90122036455486	14.011777076044465	NA	4	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	88.68960512417092	13.109606632335536	NA	5	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	72.05374911477593	15.271322554365291	NA	6	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	70.40220448950677	21.923924057322466	NA	7	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	79.53873571354629	34.071972023532254	NA	8	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	181.42665275231326	77.71060276281081	NA	9	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	367.6983799130371	154.36724699381273	NA	10	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	661.541783573457	232.708379997525	NA	11	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	901.2942844481142	246.0963662774381	NA	12	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
beads	NA	NA	NA	1122.4724546194252	242.95372479613667	NA	13	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	222.5463730443469	1176.8858450778173	NA	1	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	184.18150563136211	581.4573884912579	NA	2	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	112.36034732423437	294.821187351242	NA	3	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	57.48522877695679	182.92557867083883	NA	4	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	32.57090978567154	140.24980787297292	NA	5	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	20.813273857265862	142.97975860741778	NA	6	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	15.876573614028217	177.83309040310522	NA	7	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	14.73983923042964	240.7615756119463	NA	8	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	19.10678088025999	403.0587352084716	NA	9	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	43.987355455899895	985.7920964888419	NA	10	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	85.50111977115465	1412.9863125345137	NA	11	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
croco	NA	NA	NA	155.42956074064043	1679.401645276771	NA	12	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
picoeuk	3554.94494422622	NA	NA	NA	3745.0128802059044	NA	1	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
picoeuk	224.37615946928517	NA	NA	NA	3505.9093232091177	NA	2	25ecfc63-39f3-4a30-a598-19cdc84c6d6a
