id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
eeea0597-916b-4071-ab28-f4c0c0bb6e5c	2023-02-08T19:37:51+00:00	1	beads	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
eeea0597-916b-4071-ab28-f4c0c0bb6e5c	2023-02-08T19:37:51+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
eeea0597-916b-4071-ab28-f4c0c0bb6e5c	2023-02-08T19:37:51+00:00	3	croco	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
eeea0597-916b-4071-ab28-f4c0c0bb6e5c	2023-02-08T19:37:51+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
eeea0597-916b-4071-ab28-f4c0c0bb6e5c	2023-02-08T19:37:51+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
25ecfc63-39f3-4a30-a598-19cdc84c6d6a	2024-01-16T17:52:23+00:00	1	beads	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
25ecfc63-39f3-4a30-a598-19cdc84c6d6a	2024-01-16T17:52:23+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
25ecfc63-39f3-4a30-a598-19cdc84c6d6a	2024-01-16T17:52:23+00:00	3	croco	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
25ecfc63-39f3-4a30-a598-19cdc84c6d6a	2024-01-16T17:52:23+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
25ecfc63-39f3-4a30-a598-19cdc84c6d6a	2024-01-16T17:52:23+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
320881e3-411c-4233-89bd-53177705213f	2024-01-18T18:16:00+00:00	1	beads	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
320881e3-411c-4233-89bd-53177705213f	2024-01-18T18:16:00+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
320881e3-411c-4233-89bd-53177705213f	2024-01-18T18:16:00+00:00	3	croco	manual	chl_small	pe	NA	NA	NA	NA	NA	NA
320881e3-411c-4233-89bd-53177705213f	2024-01-18T18:16:00+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
320881e3-411c-4233-89bd-53177705213f	2024-01-18T18:16:00+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
