pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	735.4241839195316			199.97410007909662			1	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	3569.1607878885266			386.1433128387801			2	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	4018.0767539510725			3617.2849919845285			3	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	380.7963890704682			3129.768950507982			4	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	205.11548152786588			356.825223220153			5	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	274.0124391521463			155.73253015216616			6	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads	463.92347329887804			177.63735296210896			7	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	6.983419432333078			3.8578715668177357			1	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	97.32050099952248			4.007242921177515			2	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	757.3740517908589			30.39022661442795			3	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	1305.6854975306303			210.92453239129878			4	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	169.91555931437304			230.4741419082469			5	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	24.469942974968696			133.70641197830102			6	2b45cbee-3479-4fa2-89b9-1b06c70a0016
synecho	5.352471644028503			22.425942191980063			7	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	3.027087027472029				9.972301286073847		1	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	5.024017007736956				4.43445328133389		2	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	12.664816597383496				4.548190923316869		3	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	57.899856465780566				8.352282355952529		4	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	109.07123475228227				17.630473102879723		5	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	97.32050099952248				67.48231055070565		6	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	23.55759725416218				147.9607922442426		7	2b45cbee-3479-4fa2-89b9-1b06c70a0016
prochloro	3.7543610827066027				33.20695474324252		8	2b45cbee-3479-4fa2-89b9-1b06c70a0016
picoeuk	4082.230441120106				3881.204090714204		1	2b45cbee-3479-4fa2-89b9-1b06c70a0016
picoeuk	3735.880130107943				138.88333596290627		2	2b45cbee-3479-4fa2-89b9-1b06c70a0016
picoeuk	345.35823890531094				46.74231259996752		3	2b45cbee-3479-4fa2-89b9-1b06c70a0016
picoeuk	52.32054368815826				130.3627854083489		4	2b45cbee-3479-4fa2-89b9-1b06c70a0016
picoeuk	16.94782483182276				3736.530876990908		5	2b45cbee-3479-4fa2-89b9-1b06c70a0016
beads				2594.1442636290903	384.41414322195067		1	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				1816.52805133942	164.89071266331172		2	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				932.4315620548585	55.432520173133575		3	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				353.0596267089123	19.238168925298094		4	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				179.31308478790436	12.09110480972567		5	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				89.02536647738413	10.90983670999667		6	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				58.15170755658739	10.770175733253817		7	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
beads				44.04673232998121	12.75519634910524		8	3c8e5127-03a5-4d9f-ae5f-2608bc528f5c
