id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
689417f7-403b-42f1-98b4-78bcd3ff38f6	2026-04-23T00:03:35+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
689417f7-403b-42f1-98b4-78bcd3ff38f6	2026-04-23T00:03:35+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
689417f7-403b-42f1-98b4-78bcd3ff38f6	2026-04-23T00:03:35+00:00	3	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
689417f7-403b-42f1-98b4-78bcd3ff38f6	2026-04-23T00:03:35+00:00	4	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
2742208c-166b-4aa2-9a27-4308adb30cdc	2026-04-23T00:11:20+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
2742208c-166b-4aa2-9a27-4308adb30cdc	2026-04-23T00:11:20+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
2742208c-166b-4aa2-9a27-4308adb30cdc	2026-04-23T00:11:20+00:00	3	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
2742208c-166b-4aa2-9a27-4308adb30cdc	2026-04-23T00:11:20+00:00	4	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
810e6241-1a8a-4a17-a9a4-1ccd1bbfead7	2026-04-23T00:21:45+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
810e6241-1a8a-4a17-a9a4-1ccd1bbfead7	2026-04-23T00:21:45+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
810e6241-1a8a-4a17-a9a4-1ccd1bbfead7	2026-04-23T00:21:45+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
810e6241-1a8a-4a17-a9a4-1ccd1bbfead7	2026-04-23T00:21:45+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
810e6241-1a8a-4a17-a9a4-1ccd1bbfead7	2026-04-23T00:21:45+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
6c73e078-7b5c-48af-b46f-65f43c003f48	2026-04-23T00:27:20+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
6c73e078-7b5c-48af-b46f-65f43c003f48	2026-04-23T00:27:20+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
6c73e078-7b5c-48af-b46f-65f43c003f48	2026-04-23T00:27:20+00:00	3	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
6c73e078-7b5c-48af-b46f-65f43c003f48	2026-04-23T00:27:20+00:00	4	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
e5868345-2c16-43c0-a308-305cd9004034	2026-04-23T00:34:30+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e5868345-2c16-43c0-a308-305cd9004034	2026-04-23T00:34:30+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e5868345-2c16-43c0-a308-305cd9004034	2026-04-23T00:34:30+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e5868345-2c16-43c0-a308-305cd9004034	2026-04-23T00:34:30+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
e5868345-2c16-43c0-a308-305cd9004034	2026-04-23T00:34:30+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
b35d3534-11aa-4049-9ea4-ebedc2451a48	2026-04-23T00:40:10+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
b35d3534-11aa-4049-9ea4-ebedc2451a48	2026-04-23T00:40:10+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
b35d3534-11aa-4049-9ea4-ebedc2451a48	2026-04-23T00:40:10+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
b35d3534-11aa-4049-9ea4-ebedc2451a48	2026-04-23T00:40:10+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
b35d3534-11aa-4049-9ea4-ebedc2451a48	2026-04-23T00:40:10+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
271beae5-2b86-4fb9-92ef-962459e77fd0	2026-04-23T00:42:57+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
271beae5-2b86-4fb9-92ef-962459e77fd0	2026-04-23T00:42:57+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
271beae5-2b86-4fb9-92ef-962459e77fd0	2026-04-23T00:42:57+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
271beae5-2b86-4fb9-92ef-962459e77fd0	2026-04-23T00:42:57+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
271beae5-2b86-4fb9-92ef-962459e77fd0	2026-04-23T00:42:57+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
62a56f93-aacf-4c5a-b36a-02696993da2c	2026-04-23T00:46:44+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
62a56f93-aacf-4c5a-b36a-02696993da2c	2026-04-23T00:46:44+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
62a56f93-aacf-4c5a-b36a-02696993da2c	2026-04-23T00:46:44+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
62a56f93-aacf-4c5a-b36a-02696993da2c	2026-04-23T00:46:44+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
62a56f93-aacf-4c5a-b36a-02696993da2c	2026-04-23T00:46:44+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
9993c417-50bb-4eb5-9e58-66f3ae7186c8	2026-04-23T00:50:46+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
9993c417-50bb-4eb5-9e58-66f3ae7186c8	2026-04-23T00:50:46+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
9993c417-50bb-4eb5-9e58-66f3ae7186c8	2026-04-23T00:50:46+00:00	3	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
9993c417-50bb-4eb5-9e58-66f3ae7186c8	2026-04-23T00:50:46+00:00	4	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
0dd38c60-224e-4ab8-97af-98494b8c1af5	2026-04-23T00:54:34+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
0dd38c60-224e-4ab8-97af-98494b8c1af5	2026-04-23T00:54:34+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
0dd38c60-224e-4ab8-97af-98494b8c1af5	2026-04-23T00:54:34+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
0dd38c60-224e-4ab8-97af-98494b8c1af5	2026-04-23T00:54:34+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
0dd38c60-224e-4ab8-97af-98494b8c1af5	2026-04-23T00:54:34+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
e860728d-b473-4f42-ab4b-3b38d2062d8a	2026-04-23T00:56:11+00:00	1	beads	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e860728d-b473-4f42-ab4b-3b38d2062d8a	2026-04-23T00:56:11+00:00	2	synecho	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e860728d-b473-4f42-ab4b-3b38d2062d8a	2026-04-23T00:56:11+00:00	3	croco	manual	fsc_small	pe	NA	NA	NA	NA	NA	NA
e860728d-b473-4f42-ab4b-3b38d2062d8a	2026-04-23T00:56:11+00:00	4	prochloro	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
e860728d-b473-4f42-ab4b-3b38d2062d8a	2026-04-23T00:56:11+00:00	5	picoeuk	manual	fsc_small	chl_small	NA	NA	NA	NA	NA	NA
