pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	NA	NA	NA	204.11214932136977	58.160008477321526	NA	1	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	118.26826940306417	37.85357791333431	NA	2	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	88.9647438713686	51.1070309293318	NA	3	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	125.95132736093825	106.4764594396383	NA	4	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	240.16210858932965	160.4307707636696	NA	5	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	290.62404119490503	97.67234072449271	NA	6	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	686.3390002494341	1274.211669368332	NA	1	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	334.5087707927202	622.7821717137969	NA	2	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	174.4855394687471	620.9176194286208	NA	3	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	138.66909679694285	829.0238807046255	NA	4	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	192.66909229220903	2188.112684969325	NA	5	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	550.9749346793996	3402.5698737802845	NA	6	00444c59-12ff-4efc-b396-23162c8b66fd
croco	NA	NA	NA	1038.9848448172115	2227.8516942755828	NA	7	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	28.259304586656583	NA	NA	NA	1882.93817510207	NA	1	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	4.293744831065126	NA	NA	NA	260.9673750526576	NA	2	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	6.3287572593196915	NA	NA	NA	33.86693118305085	NA	3	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	10.313734951083777	NA	NA	NA	13.426956706233677	NA	4	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	91.71621011748098	NA	NA	NA	8.77682848677273	NA	5	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	938.98716006577	NA	NA	NA	15.838158097500925	NA	6	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	3559.759261887083	NA	NA	NA	94.69214984324141	NA	7	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	3588.053676760434	NA	NA	NA	3473.194961033091	NA	8	00444c59-12ff-4efc-b396-23162c8b66fd
picoeuk	141.41876821175504	NA	NA	NA	3814.9870330894532	NA	9	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	7.771052320741345	NA	NA	NA	2.5649940786370773	NA	1	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	21.36806984148504	NA	NA	NA	2.6066094473367842	NA	2	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	57.78861394477806	NA	NA	NA	5.030631458341749	NA	3	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	72.4513897870832	NA	NA	NA	13.920443128550868	NA	4	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	64.84919508690935	NA	NA	NA	22.777449537178825	NA	5	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	16.494521704887326	NA	NA	NA	18.269173504971956	NA	6	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	4.463039303768556	NA	NA	NA	12.550284762546102	NA	7	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	3.123970503068757	NA	NA	NA	4.717184104558307	NA	8	00444c59-12ff-4efc-b396-23162c8b66fd
prochloro	3.7468508308302453	NA	NA	NA	2.7961652042189127	NA	9	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	20.682321234005087	NA	NA	66.19537593227692	NA	NA	1	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	3.938242083154446	NA	NA	8.512949225016417	NA	NA	2	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	5.31581964105259	NA	NA	3.4106775058372545	NA	NA	3	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	22.31039009289931	NA	NA	2.0826819727914048	NA	NA	4	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	202.248545499756	NA	NA	2.5345579438664814	NA	NA	5	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	349.16543719022894	NA	NA	4.107406047965584	NA	NA	6	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	448.39148043511386	NA	NA	32.657677897255546	NA	NA	7	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	422.0184717638535	NA	NA	81.07206821350748	NA	NA	8	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	146.1158495933734	NA	NA	135.84112240199545	NA	NA	9	00444c59-12ff-4efc-b396-23162c8b66fd
synecho	46.42132980879509	NA	NA	136.3497680977976	NA	NA	10	00444c59-12ff-4efc-b396-23162c8b66fd
beads	NA	NA	NA	1543.197753069625	650.2750694851637	NA	1	0428926d-43e4-4d54-adef-4085ec52caa6
beads	NA	NA	NA	154.68758992943398	44.19880203425662	NA	2	0428926d-43e4-4d54-adef-4085ec52caa6
beads	NA	NA	NA	93.96965377367381	46.01885310938638	NA	3	0428926d-43e4-4d54-adef-4085ec52caa6
beads	NA	NA	NA	86.94829406584671	59.04704054641322	NA	4	0428926d-43e4-4d54-adef-4085ec52caa6
beads	NA	NA	NA	1360.778385081374	815.7120732043702	NA	5	0428926d-43e4-4d54-adef-4085ec52caa6
croco	NA	NA	NA	718.607510155317	1476.097292601123	NA	1	0428926d-43e4-4d54-adef-4085ec52caa6
